hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
2171,DELHI HEART INSTITUTE & MULTISPECIALITY HOSPITAL,BATHINDA,Hisar,Haryana,1,N,N,151001,25659,2567.28,2306.16,261.12,10.17
2212,MANIPAL HOSPITALS (BENGALURU) PVT. LTD.,BANGALORE,Bangalore,Karnataka,1,N,Y,560052,17049,2152.63,1892.92,259.71,12.06
1504,GURUKRIPA HOSPITALS - SIKAR,SIKAR,Jaipur,Rajasthan,1,N,N,332001,29420,2519.15,2260.18,258.97,10.28
2460,SSB HEART AND MULTISPECIALITY HOSPITAL,FARIDABAD,Delhi,Delhi,1,N,N,121001,23495,5223.11,4966.24,256.87,4.92
2209,IBM HOSPITAL AND TRAUMA CENTRE-PANIPAT,PANIPAT,Ambala,Punjab,1,N,N,132103,2981,2493.59,2237.52,256.08,10.27
467,Tagore Hospital & Heart Care Centre Pvt Ltd - Jalandhar,Jalandhar,Jalandhar,Punjab,1,N,N,144008,60482,7937.78,7681.88,255.89,3.22
3202,YASHODA SUPER SPECIALITY HOSPITAL & CANCER INSTITU,GHAZIABAD,Delhi 2,Delhi,0,N,N,201002,2931,3787.16,3531.51,255.65,6.75
3339,KADDAM MULTISPECIALITY HOSPITAL (A UNIT OF KADDAM,BHIWANI,Hisar,Haryana,,N,N,127021,10819,2666.45,2412.25,254.20,9.53
5114,Jaipur,Jaipur,Jaipur,Rajasthan,M,N,N,302006,7254,962.77,708.85,253.92,26.37
781,CHHABRA HOSPITAL,PANIPAT,Ambala,Punjab,1,N,N,132103,3958,2745.00,2491.18,253.83,9.25
1316,MIMHANS HOSPITAL,MEERUT,Bareilly,Uttar Pradesh,1,N,N,250004,21728,3087.22,2834.13,253.09,8.20
1023,SUMITRA HOSPITAL - Noida,NOIDA,Delhi 2,Delhi,1,N,N,201301,7083,3560.95,3307.97,252.99,7.10
988,YASHODA SUPER SPECIALITY HOSPITAL - KAUSHAMBI,GHAZIABAD,Delhi 2,Delhi,1,Y,Y,201010,40137,2153.21,1900.89,252.31,11.72
5266,Mhow,Mhow,Jabalpur,Madhya Pradesh,M,N,N,453441,5437,782.91,531.22,251.69,32.15
3427,HAJI BADRUDDIN MEMORIAL HOSPITAL & REHABILITATION,JHUNJHUNU,Jaipur,Rajasthan,,N,N,333001,2347,1608.77,1357.96,250.81,15.59
1218,J B GUPTAS HOSPITAL - BHIWANI,BHIWANI,Hisar,Haryana,1,N,N,127021,3955,1708.79,1458.23,250.56,14.66
