hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
RATNADEEP HOSPITAL & RESEARCH CENTRE - KANPUR [1468],1,N,658,682.79,510.13,172.66,25.29
SANDHU HOSPITAL [1986],1,N,2557,2933.47,2760.94,172.53,5.88
SUKH SADAN HOSPITAL & TRAUMA CENTRE PVT LTD [1590],1,N,4572,2249.51,2077.15,172.35,7.66
TENDER PALM HOSPITAL (A UNIT OF HEALTHPLUS RESEARCH AND MEDICENTRE LLP) [3846],,N,328,659.82,487.71,172.10,26.08
GK SUPER SPECIALITY HOSPITAL [3983],,N,2194,1682.82,1510.80,172.02,10.22
Pathanamthitta [5069],N,N,45221,1949.52,1777.71,171.81,8.81
Grewal Eye Institute - Chandigarh [32],2,N,24389,1653.96,1483.10,170.87,10.33
Vijayawada [5030],N,N,8549,530.38,360.04,170.34,32.12
PULSE MULTISPECIALITY HOSPITAL AND RESEARCH CENTRE [2788],1,N,9251,1388.80,1218.81,169.99,12.24
Mavelikara [5067],N,N,41409,1689.85,1520.76,169.10,10.01
SDS GLOBAL HOSPITAL [1990],1,N,5650,1673.22,1504.82,168.40,10.06
NKS HOSPITAL (A UNIT OF BRAM HEALTH CARE PVT LTD) [2186],1,N,598,1035.83,867.75,168.09,16.23
IMRAN HOSPITAL [2690],1,N,3229,429.30,261.27,168.03,39.14
SKR HOSPITALS & TRAUMA CENTRE PVT LTD - PATHANKOT [2409],1,N,13556,2817.96,2650.08,167.89,5.96
DHUKIA HOSPITAL (RAJASTHAN PUBLIC HALLKA SCHOOL) [1671],1,N,7253,1216.67,1048.87,167.80,13.79
SHRI JAYRAM HOSPITAL & TRAUMA CENTRE - KANPUR [2446],1,N,1291,1146.08,978.77,167.32,14.60
BIMR HOSPITALS - MORAR [281],1,N,40425,3897.82,3730.54,167.28,4.29
SHIVAM HOSPITAL (UNIT OF R R HOSPITALS PVT LTD) [1151],1,N,2085,1067.29,901.37,165.92,15.55
GNRC HOSPITALS [720],1,N,3042,862.26,697.25,165.01,19.14
Karad [5052],N,N,894,571.71,407.75,163.96,28.68
Dharwad [5354],N,N,1198,405.71,243.23,162.48,40.05
GREEN CITY HOSPITAL - GREATER NOIDA [2390],1,N,1924,1412.69,1250.31,162.38,11.49
Wellington [5287],M,N,736,379.12,216.93,162.19,42.78
SHARMA MEDICARE PVT LTD - GREATER NOIDA [2442],1,N,2631,2170.39,2009.15,161.24,7.43
FORTIS HOSPITALS LTD - MULUND [2353],1,N,36416,3869.77,3709.42,160.35,4.14
Tuticorin [5075],N,N,2146,411.24,251.21,160.03,38.91
SUYASH INSTITUTE OF MEDICAL SCIENCE PVT LTD [2053],1,N,7219,1107.48,947.77,159.71,14.42
JR HOSPITAL - GREATER NOIDA [3383],,N,1846,2226.35,2066.95,159.40,7.16
ONCOPLUS HOSPITAL (UNIT: DEEPCHAND ONCOLOGY SERVIC [3721],1,N,955,1272.68,1116.03,156.66,12.31
SHRI RAM SINGH HOSPITAL & HEART INSTITUTE - DELHI [2324],1,N,795,1069.57,914.27,155.31,14.52
GK SUPER SPECIALITY HOSPITAL [4291],,N,349,701.06,546.18,154.88,22.09
KMC SPECIALITY HOSPITALS (INDIA) LIMITED - TRICHY [859],1,N,7115,1112.03,957.31,154.72,13.91
JASWANT RAI SPECIALITY HOSPITAL [1331],1,N,8087,2264.01,2110.20,153.81,6.79
WELLSUN MEDICITY SUPER SPECIALITY HOSPITAL (A UNIT OF GAYATRI HEALTHCARE PVT LTD) [3926],,N,496,592.93,439.33,153.60,25.91
Ranchi [5173],M,N,11252,754.95,601.47,153.48,20.33
PRAGATI HOSPITAL [3562],,N,736,1274.04,1120.70,153.34,12.04
KUNAL HOSPITAL & CRITICAL CARE & TRAUMA CENTRE [1149],1,N,7085,1902.13,1749.06,153.08,8.05
GLOBAL HOSPITAL [1919],1,N,11380,1827.47,1674.74,152.73,8.36
RAMKRISHNA CARE MEDICAL SCIENCE PVT LTD [2396],1,N,3660,1058.44,905.71,152.73,14.43
Mysore [5252],N,N,885,333.09,180.59,152.50,45.78
NARAYANA HRUDAYALAYA LTD. - GUWAHATI [1520],1,Y,9997,2287.77,2135.62,152.15,6.65
Tumkur (Extension Counter Jalahalli) [5285],N,N,14071,610.26,458.53,151.73,24.86
FORTIS HOSPITAL - SHALIMAR BAGH [1842],1,Y,23992,6690.69,6539.27,151.42,2.26
CHARAK MEMORIAL HOSPITAL PRIVATE LIMITED [3701],1,N,30519,2108.78,1958.22,150.57,7.14
MOULANA HOSPITAL PERINTALMANNA [365],1,N,30170,1890.65,1740.19,150.46,7.96
ASHWIN HOSPITAL (ASHWIN POLYCLINIC PVT LTD) [2665],1,N,14718,1930.32,1780.15,150.17,7.78
APOLLO HOSPITALS ENTERPRISE LIMITED [2403],1,N,17528,1370.94,1220.78,150.16,10.95
CLARA SWAIN MISSION HOSPITAL BAREILLY [1300],1,N,8093,1324.80,1175.45,149.35,11.27
SWAMI VIVEKANAND MULTISPECIALITY HOSPITAL [2769],1,N,3389,2510.60,2361.68,148.91,5.93
Akola [5088],N,N,1031,383.56,234.80,148.76,38.78
SHRI RAM SINGH MULTI SPECIALITY HOSPITAL - NOIDA [3653],,N,1009,1215.16,1067.21,147.95,12.18
Kadapa [5423],N,N,813,290.15,142.28,147.87,50.96
KUKREJA HOSPITAL & HEART CENTRE PVT. LTD - RAJOURI GARDEN [703],1,N,1214,1856.11,1708.79,147.32,7.94
MANAVTA HOSPITALS PVT LTD [2857],1,N,3049,2330.13,2182.91,147.22,6.32
A.P.HOSPITAL- AMRITSAR [2231],1,N,2171,3574.01,3426.91,147.11,4.12
LIFELINE INSTITUTE OF MEDICAL SCIENCES [1531],1,N,7667,1574.48,1428.10,146.39,9.30
Raja Diagnostic Centre & Hospital [398],5,Y,13139,3227.23,3081.19,146.04,4.53
RAJ HOSPITAL AND FRACTURE CLINIC [2823],1,N,3748,1136.09,990.35,145.74,12.83
